Name	Japanese Name	Alias	DOB	Doubtful DOB
Aika Ozaki	尾崎愛花		1997-08-23	
Akari Iinuma	飯沼朱李		1997-10-29	
Akari Kawagoe			N/A	
Aki Fujisaka	藤阪あき		N/A	
Ako Fujiwara	藤原あこ		1989-08-08	Yes
Ako Kimijima	篠崎みお		1998-03-31	Yes
Ami Yokoyama	横山あみ		1996-10-31	
Amina Watanabe	渡辺彩美奈		1994-10-03	
Arisa Natsu	捺亜理沙		1997-02-07	
Asaka Higashi	東亜咲花		2001-01-02	
Asami Kubota	久保田あさみ		1990-02-24	Yes
Aya Kuhou	九宝亜耶	鳴海千秋	1996-12-10	
Ayay Fujimoto	藤本AYAY		1987-01-06	Yes
Azusa Manaka	真中あずさ		1996-01-08	
Ema Nakajima	中島エマ		1995-11-15	Yes
Eri Sasaki	佐々木恵梨		1995-05-01	
Erika Fujimiya	藤宮えりか		1989-06-04	Yes
Fukase Nana	深瀬なな		2000-02-16	
Hikari Maeda	前田光璃		1996-05-31	
Hinata Aoba	碧羽ひなた		1997-11-09	
Irie Koharu	入江小春		1996-04-26	Yes
Isa Aoki	青木衣沙		1992-08-27	
Jyuri Fujise	藤瀬じゅり		1993-01-02	Yes
Kahi Suzukawa	櫻井飛夏		1992-08-25	
Kana Takasugi	高杉果那		1994-12-21	
Karen Hayama	葉山夏恋	七瀬しお	1997-09-21	
Karen Kobayashi	小林かれん		1997-03-23	
Karen Tsukishima	月島かれん		1996-11-25	
Kasahara Marina	笠原麻理奈		1989-05-23	
Kobayashi Kasumi	小林架純		2000-05-06	
Kira Nanami	七海きら		1993-10-17	
Kohina Kato	花桃こひな		1997-03-01	
Mai Fujiko	藤子まい		1990-04-21	Yes
Mai Takahashi	高橋まい		1996-09-30	
Mami Fujie	藤江まみ	水上れみ	1989-02-02	Yes
Mao Fujisawa	藤澤まお		N/A	
Katou Marin	加藤まりん		1998-03-28	
Marin Ogawa	小川万凛		1998-12-05	
Masako Saito	さいとう雅子		1993-12-29	
Mayu Suzuki	鈴木真夕		1993-03-16	
Megu Fujiura	藤浦 めぐ		1989-05-04	Yes
Sugaya Miho	菅谷美穂		1994-08-13	
Mikumo Kinoshita	木下美雲		1994-08-23	
Mime Shizuka	静実芽		1994-09-23	
